case,method,m,maxn,status,iter,ap,pObj,wall_ms
control1,hsde-nt,21,10,optimal,24,4.2081765627699497e-8,17.784626752304142,211
infp1,nt,10,30,optimal,2,152202.53006939372,63495.008800112315,452
infp1,hsde-nt,10,30,optimal,8,3.5637807637279906,-4.960945802139564,455
infp2,nt,10,30,optimal,2,112885.89025939073,61873.20869033096,551
infp2,hsde-nt,10,30,optimal,8,9.568982612049457,25.658598464043582,1524
infd1,nt,10,30,optimal,2,21622.408597947786,41.48518578941424,1499
infd1,hsde-nt,10,30,optimal,1,46.49017038517877,40.14590749225577,858
infd2,nt,10,30,optimal,2,10478.431659351832,-5.953499205273057,1666
infd2,hsde-nt,10,30,optimal,2,92.40865149572923,5.507255890757196,1265
hinf11,nt,31,10,optimal,19,0.028323737111192637,65.96660077374861,466
hinf11,hsde-nt,31,10,optimal,39,0.0019168578847015697,65.86317591923621,495
truss2,nt,58,4,optimal,13,3.630001057949686e-7,-123.38035661828913,971
truss2,hsde-nt,58,4,optimal,17,4.228628960772653e-8,-123.38035636180116,953
hinf12,nt,43,12,optimal,19,5.104980500606647,24.12757271982541,2457
hinf12,hsde-nt,43,12,optimal,51,0.0004622936248779297,0.00005142861531723573,2375
truss7,nt,86,2,optimal,33,7.711954524946142e-8,-900.0013820754368,2927
truss7,hsde-nt,86,2,optimal,57,7.669484730576582e-8,-900.0014005936305,15318
hinf13,nt,57,14,optimal,20,0.8841615621931851,45.71713839677728,1088
hinf13,hsde-nt,57,14,optimal,24,0.044448137283325195,44.369239020809495,686
hinf14,nt,73,16,optimal,14,0.015811514682070538,13.001742128096348,1685
hinf14,hsde-nt,73,16,optimal,26,0.0006641858108196175,12.990316800922601,827
control2,nt,66,20,optimal,38,5.369549227474124e-8,8.299999551749197,1685
control2,hsde-nt,66,20,optimal,26,2.70040970917762e-7,8.300000098558831,1118
hinf15,nt,91,18,optimal,20,0.3950705194292823,25.33453163623922,1641
hinf15,hsde-nt,91,18,optimal,24,0.07594091817736626,24.00026628499903,1679
truss6,nt,172,3,optimal,27,0.000017046300480364937,-901.0014052605768,10601
truss6,hsde-nt,172,3,optimal,24,0.00020467548776324123,-901.0013117657364,11108
truss5,nt,208,10,optimal,14,7.665699955355621e-7,-132.63567818203938,8916
truss5,hsde-nt,208,10,optimal,20,0.000003132118201131709,-132.63567643806462,12399
qap5,nt,136,26,optimal,12,0.000008068050192377996,-436.0000080741098,2877
qap5,hsde-nt,136,26,optimal,10,0.000004988102418224116,-435.99999901463354,1083
control3,nt,136,30,optimal,56,5.3083615281224183e-8,13.633267201958756,6318
control3,hsde-nt,136,30,optimal,29,1.8231886222963567e-7,13.633266560122463,3977
theta1,nt,104,50,optimal,14,1.6836558036636973e-7,22.99999983447311,3619
theta1,hsde-nt,104,50,optimal,12,1.9170683729363702e-7,23.00000002514191,3095
qap6,nt,229,37,optimal,11,0.006136541158412001,-381.4329507340579,43783
qap6,hsde-nt,229,37,optimal,35,3.985566404147482e-7,-381.4375592037059,-3615220
control4,nt,231,40,optimal,39,0.00000286885162736894,19.794229462151737,67965
control4,hsde-nt,231,40,optimal,51,3.673587016805868e-7,19.794231685644384,17601
mcp100,nt,100,100,optimal,14,8.324989861363541e-7,226.1573506630481,13798
mcp100,hsde-nt,100,100,optimal,13,0.000002247174746117242,226.1573496203172,11599
gpp100,nt,101,100,optimal,122,1.2723148756776936e-7,-44.94355004472717,82099
gpp100,hsde-nt,101,100,optimal,21,0.00003583680049246141,-44.94352772972758,68507
truss8,nt,496,19,optimal,18,6.074117880916974e-7,-133.11458951986722,81694
truss8,hsde-nt,496,19,timeout,-1,nan,nan,90991
mcp124-4,nt,124,124,optimal,17,6.848924622993025e-7,864.411863374706,28015
mcp124-4,hsde-nt,124,124,optimal,14,0.0000069755372853474995,864.41185819781,25537
mcp124-2,nt,124,124,optimal,15,2.9626200448440443e-7,269.8801703507173,26080
mcp124-2,hsde-nt,124,124,optimal,12,0.000015149896055111078,269.8801579832706,22613
mcp124-1,nt,124,124,optimal,15,2.9000774603993307e-7,141.99047681385488,27482
mcp124-1,hsde-nt,124,124,optimal,12,0.000009704651795394703,141.9904697494607,22465
mcp124-3,nt,124,124,optimal,15,8.161251244809264e-7,467.7501134792341,26161
mcp124-3,hsde-nt,124,124,optimal,13,0.000011260946554791929,467.7501048156448,24370
gpp124-4,nt,125,124,optimal,22,6.793343345634639e-7,-418.98762458149207,36602
gpp124-4,hsde-nt,125,124,optimal,22,0.000117240900010529,-418.9875055604712,78532
gpp124-1,nt,125,124,timeout,-1,nan,nan,90441
gpp124-1,hsde-nt,125,124,timeout,-1,nan,nan,90406
gpp124-2,nt,125,124,optimal,23,1.6865851648617536e-7,-46.86229468330292,52738
